Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
20,Toronto Raptors*,82,242.1,40.6,91.3,.445,11.9,34.2,.349,28.7,57.1,.503,16.2,21.3,.759,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4,2021-22
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2021-22
21,New Orleans Pelicans*,82,240.9,40.2,88.0,.457,10.6,32.1,.332,29.5,55.9,.528,18.3,23.2,.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3,2021-22
22,Washington Wizards,82,241.8,40.6,86.0,.472,10.5,30.6,.342,30.1,55.4,.543,17.0,21.7,.783,9.0,34.1,43.1,25.0,6.4,5.0,13.1,18.8,108.6,2021-22
23,Los Angeles Clippers,82,241.2,40.1,87.4,.458,12.8,34.2,.374,27.3,53.3,.512,15.5,19.6,.793,9.1,34.9,44.0,24.0,7.4,5.0,13.7,18.6,108.4,2021-22
24,Dallas Mavericks*,82,240.9,39.3,85.1,.461,13.1,37.4,.350,26.2,47.8,.548,16.4,21.2,.771,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0,2021-22
25,Cleveland Cavaliers,82,240.6,39.7,84.6,.469,11.6,32.8,.355,28.1,51.9,.541,16.8,22.1,.760,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8,2021-22
26,New York Knicks,82,241.2,37.7,86.2,.437,13.2,36.9,.357,24.5,49.3,.497,18.0,24.1,.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5,2021-22
27,Portland Trail Blazers,82,240.6,38.5,87.1,.442,12.7,36.8,.346,25.8,50.3,.513,16.4,21.6,.760,10.4,32.5,42.9,22.9,8.0,4.5,14.5,21.1,106.2,2021-22
28,Detroit Pistons,82,241.2,38.2,88.6,.431,11.3,34.6,.326,26.9,54.0,.498,17.2,22.0,.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,21.9,104.8,2021-22
29,Orlando Magic,82,241.2,38.3,88.3,.434,12.2,36.9,.331,26.1,51.4,.507,15.5,19.7,.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,2021-22
30,Oklahoma City Thunder,82,241.5,38.3,89.1,.430,12.1,37.4,.323,26.2,51.8,.507,15.0,19.9,.756,10.4,35.2,45.6,22.2,7.6,4.6,14.0,18.3,103.7,2021-22
1,Sacramento Kings*,82,241.8,43.6,88.2,.494,13.8,37.3,.369,29.8,50.9,.586,19.8,25.1,.790,9.5,32.9,42.5,27.3,7.0,3.4,13.5,19.7,120.7,2022-23
2,Golden State Warriors*,82,241.8,43.1,90.2,.479,16.6,43.2,.385,26.5,47.0,.564,16.0,20.2,.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,2022-23
3,Atlanta Hawks*,82,242.1,44.6,92.4,.483,10.8,30.5,.352,33.9,61.8,.548,18.5,22.6,.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4,2022-23
4,Boston Celtics*,82,243.7,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,2022-23
5,Oklahoma City Thunder,82,242.1,43.1,92.6,.465,12.1,34.1,.356,31.0,58.5,.530,19.2,23.7,.809,11.4,32.3,43.6,24.4,8.2,4.2,13.0,21.0,117.5,2022-23
6,Los Angeles Lakers*,82,242.4,42.9,89.0,.482,10.8,31.2,.346,32.1,57.8,.555,20.6,26.6,.775,10.0,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,2022-23
7,Utah Jazz,82,241.5,42.5,89.8,.473,13.3,37.8,.353,29.2,52.0,.560,18.7,23.8,.786,11.8,34.1,45.9,26.0,6.1,5.2,15.4,20.5,117.1,2022-23
8,Memphis Grizzlies*,82,241.2,43.7,92.1,.475,12.0,34.2,.351,31.7,57.9,.548,17.5,23.8,.733,12.0,34.6,46.6,26.0,8.3,5.8,13.6,20.0,116.9,2022-23
9,Milwaukee Bucks*,82,241.8,42.7,90.4,.473,14.8,40.3,.368,27.9,50.1,.557,16.6,22.4,.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9,2022-23
10,Indiana Pacers,82,240.9,42.0,89.6,.469,13.6,37.0,.367,28.4,52.6,.540,18.7,23.7,.790,10.1,31.4,41.5,27.0,7.7,5.8,14.9,21.2,116.3,2022-23
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022-23
11,New York Knicks*,82,243.4,42.0,89.4,.470,12.6,35.7,.354,29.4,53.6,.547,19.4,25.5,.761,12.6,34.0,46.6,22.9,6.4,4.1,13.0,20.3,116.0,2022-23
12,Denver Nuggets*,82,240.9,43.6,86.4,.504,11.8,31.2,.379,31.8,55.2,.575,16.8,22.4,.751,10.1,32.9,43.0,28.9,7.5,4.5,14.5,18.6,115.8,2022-23
13,Minnesota Timberwolves*,82,241.8,42.9,87.4,.490,12.2,33.3,.365,30.7,54.1,.568,17.9,23.7,.755,9.1,32.8,41.9,26.2,8.0,5.4,15.3,21.6,115.8,2022-23
14,Philadelphia 76ers*,82,242.4,40.8,83.8,.487,12.6,32.6,.387,28.2,51.2,.551,21.0,25.1,.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2,2022-23
15,New Orleans Pelicans,82,242.1,42.0,87.6,.480,11.0,30.1,.364,31.1,57.5,.541,19.3,24.4,.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,2022-23
16,Dallas Mavericks,82,243.0,40.0,84.3,.475,15.2,41.0,.371,24.8,43.3,.574,19.0,25.1,.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2,2022-23
17,Phoenix Suns*,82,241.2,42.1,90.1,.467,12.2,32.6,.374,29.9,57.5,.520,17.2,21.7,.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6,2022-23
18,Los Angeles Clippers*,82,241.8,41.1,86.1,.477,12.7,33.4,.381,28.4,52.7,.539,18.7,23.9,.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6,2022-23
19,Portland Trail Blazers,82,240.6,40.5,85.4,.474,12.9,35.3,.365,27.6,50.1,.550,19.6,24.6,.796,9.4,31.1,40.5,24.2,6.7,4.6,14.5,20.0,113.4,2022-23
20,Brooklyn Nets*,82,240.6,41.5,85.1,.487,12.8,33.8,.378,28.7,51.3,.559,17.7,22.1,.800,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4,2022-23
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022-23
21,Washington Wizards,82,240.9,42.1,86.9,.485,11.3,31.7,.356,30.9,55.2,.559,17.6,22.4,.785,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,113.2,2022-23
22,Chicago Bulls,82,242.7,42.5,86.8,.490,10.4,28.9,.361,32.1,57.9,.555,17.6,21.8,.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1,2022-23
23,San Antonio Spurs,82,242.1,43.1,92.6,.465,11.1,32.2,.345,32.0,60.4,.529,15.8,21.2,.743,11.8,31.9,43.7,27.2,7.0,3.9,15.3,19.9,113.0,2022-23
24,Toronto Raptors,82,241.5,41.9,91.3,.459,10.7,32.0,.335,31.1,59.3,.525,18.4,23.4,.784,12.7,30.3,43.0,23.9,9.4,5.2,11.7,20.0,112.9,2022-23
25,Cleveland Cavaliers*,82,242.4,41.6,85.2,.488,11.6,31.6,.367,30.0,53.6,.559,17.5,22.5,.780,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19.0,112.3,2022-23
26,Orlando Magic,82,241.2,40.5,86.3,.470,10.8,31.1,.346,29.8,55.2,.539,19.6,25.0,.784,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1,111.4,2022-23
27,Charlotte Hornets,82,241.8,41.3,90.4,.457,10.7,32.5,.330,30.5,57.9,.528,17.6,23.6,.749,11.0,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111.0,2022-23
28,Houston Rockets,82,240.9,40.6,88.9,.457,10.4,31.9,.327,30.2,56.9,.530,19.1,25.3,.754,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7,2022-23
29,Detroit Pistons,82,241.5,39.6,87.1,.454,11.4,32.4,.351,28.2,54.6,.516,19.8,25.7,.771,11.2,31.3,42.4,23.0,7.0,3.8,15.1,22.1,110.3,2022-23
30,Miami Heat*,82,241.5,39.2,85.3,.460,12.0,34.8,.344,27.3,50.5,.540,19.1,23.0,.831,9.7,30.9,40.6,23.8,8.0,3.0,13.5,18.5,109.5,2022-23
1,Indiana Pacers*,82,240.3,47.0,92.7,.507,13.2,35.3,.374,33.8,57.4,.589,16.1,20.5,.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3,2023-24
2,Boston Celtics*,82,241.8,43.9,90.2,.487,16.5,42.5,.388,27.4,47.7,.575,16.3,20.2,.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,2023-24
3,Oklahoma City Thunder*,82,241.5,44.5,89.3,.499,13.3,34.2,.389,31.3,55.1,.567,17.7,21.5,.825,8.8,33.2,42.0,27.1,8.5,6.6,12.7,18.8,120.1,2023-24
4,Milwaukee Bucks*,82,241.5,43.1,88.5,.487,14.2,38.1,.373,29.0,50.4,.574,18.5,23.9,.774,9.4,34.8,44.2,26.5,6.8,5.0,12.9,19.2,119.0,2023-24
5,Atlanta Hawks,82,242.1,43.0,92.5,.465,13.7,37.7,.364,29.3,54.8,.535,18.5,23.2,.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3,2023-24
6,Los Angeles Lakers*,82,242.1,43.7,87.5,.499,11.8,31.4,.377,31.8,56.2,.567,18.9,24.2,.782,8.2,34.9,43.1,28.5,7.4,5.5,14.0,15.6,118.0,2023-24
7,Dallas Mavericks*,82,240.3,43.1,89.7,.481,14.6,39.5,.369,28.5,50.1,.569,17.0,22.5,.758,9.7,33.2,42.9,25.7,6.9,5.0,12.5,18.3,117.9,2023-24
8,Golden State Warriors,82,241.8,43.7,91.6,.477,14.8,38.9,.380,28.9,52.7,.548,15.6,20.0,.780,12.1,34.6,46.7,29.3,7.0,4.6,14.3,19.5,117.8,2023-24
9,Sacramento Kings,82,242.1,43.3,90.9,.477,14.4,39.3,.366,29.0,51.7,.561,15.5,20.9,.745,10.8,33.2,44.0,28.3,7.6,4.2,13.1,19.9,116.6,2023-24
10,Phoenix Suns*,82,241.2,42.5,86.1,.493,12.4,32.6,.382,30.0,53.6,.561,18.9,23.4,.808,10.1,33.9,44.1,27.0,7.4,6.0,14.9,18.0,116.2,2023-24
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023-24
11,Utah Jazz,82,241.5,42.0,89.9,.467,12.9,36.5,.354,29.1,53.4,.544,18.8,22.6,.830,12.2,33.2,45.5,27.2,6.5,5.6,15.7,18.6,115.7,2023-24
12,Los Angeles Clippers*,82,240.3,42.4,86.7,.489,12.6,33.2,.381,29.7,53.5,.555,18.3,22.2,.825,10.0,32.9,43.0,25.6,7.8,5.0,13.1,18.5,115.6,2023-24
13,New Orleans Pelicans*,82,240.3,42.5,87.4,.486,12.5,32.6,.383,30.0,54.8,.548,17.6,22.8,.771,10.4,33.6,44.0,27.0,8.3,4.6,13.0,18.4,115.1,2023-24
14,Denver Nuggets*,82,240.3,44.0,88.8,.496,11.7,31.2,.374,32.3,57.5,.562,15.1,19.9,.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9,2023-24
15,Philadelphia 76ers*,82,241.2,41.5,89.4,.464,12.1,33.3,.363,29.4,56.1,.525,19.5,23.6,.826,11.0,31.9,43.0,24.9,8.5,6.0,12.0,20.3,114.6,2023-24
16,Houston Rockets,82,242.1,41.8,91.0,.459,12.7,36.1,.352,29.0,54.8,.530,18.1,23.4,.773,11.5,34.0,45.5,24.8,7.8,4.6,12.7,20.8,114.3,2023-24
17,Washington Wizards,82,240.6,43.0,91.4,.470,12.4,35.5,.348,30.6,55.8,.548,15.4,20.2,.764,9.2,31.9,41.1,27.9,7.6,5.1,14.0,20.0,113.7,2023-24
18,Minnesota Timberwolves*,82,241.5,41.3,85.0,.485,12.6,32.7,.387,28.6,52.4,.546,17.8,22.9,.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113.0,2023-24
19,New York Knicks*,82,240.6,41.3,88.7,.465,13.2,35.8,.369,28.1,52.9,.531,17.0,21.8,.780,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8,2023-24
20,Cleveland Cavaliers*,82,241.5,41.8,87.2,.479,13.5,36.8,.367,28.3,50.4,.561,15.6,20.4,.765,9.8,33.4,43.3,28.0,7.4,4.6,13.6,17.5,112.6,2023-24
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023-24
21,Toronto Raptors,82,241.5,42.3,89.7,.471,11.5,33.1,.347,30.8,56.6,.543,16.3,21.6,.756,10.9,31.8,42.7,28.5,7.7,4.7,14.0,18.4,112.4,2023-24
22,Chicago Bulls,82,243.7,42.0,89.5,.470,11.5,32.1,.358,30.6,57.4,.532,16.7,21.1,.791,11.2,32.6,43.8,25.0,7.8,4.8,12.2,18.8,112.3,2023-24
23,San Antonio Spurs,82,241.8,41.9,90.7,.462,12.6,36.4,.347,29.3,54.3,.539,15.6,20.0,.782,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1,2023-24
24,Orlando Magic*,82,241.2,40.5,84.9,.476,11.0,31.3,.352,29.5,53.6,.549,18.5,24.4,.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5,2023-24
25,Brooklyn Nets,82,241.5,40.7,89.1,.456,13.3,36.7,.362,27.4,52.4,.522,15.8,20.9,.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4,2023-24
26,Miami Heat*,82,240.9,39.8,85.6,.465,12.5,33.7,.370,27.4,51.9,.527,18.0,22.0,.818,9.3,33.0,42.3,25.8,7.5,3.4,12.7,17.3,110.1,2023-24
27,Detroit Pistons,82,240.9,40.9,88.2,.463,11.0,31.7,.348,29.8,56.5,.528,17.0,21.7,.785,10.5,32.8,43.3,25.5,6.5,4.7,15.2,20.6,109.9,2023-24
28,Charlotte Hornets,82,240.6,40.0,87.0,.460,12.1,34.0,.355,28.0,53.0,.528,14.5,18.4,.786,9.3,31.0,40.3,24.8,6.9,4.5,13.8,18.0,106.6,2023-24
29,Portland Trail Blazers,82,242.4,39.4,89.7,.439,11.5,33.2,.345,27.9,56.5,.494,16.2,20.5,.791,12.6,30.1,42.7,23.1,7.6,4.3,15.2,20.2,106.4,2023-24
30,Memphis Grizzlies,82,241.2,38.4,88.2,.435,13.1,37.8,.346,25.3,50.4,.502,16.0,21.0,.764,10.9,31.7,42.6,24.7,8.2,6.1,15.1,19.1,105.8,2023-24
